name,link,tag,state,imagelinks
Chugach State Park,chugach_state_park_in_alaska.html,State Parks,Alaska,"['https://tse4.mm.bing.net/th/id/OIP.Mq_aOtIQ8FlUyjJEB90qDgHaE8', 'https://tse1.mm.bing.net/th/id/OIP.dm1BGg1DP6GDJHC2XR1LXgHaE7', 'https://tse2.mm.bing.net/th/id/OIP.TwmbZN57xbVyG2MZJCxiugHaE8', 'https://tse2.mm.bing.net/th/id/OIP.itPH_vA9PZiLatiWsf1JxQHaFA', 'https://tse2.mm.bing.net/th/id/OIP.c4SU3-GEP4ALVWsMRD455QHaFj', 'https://tse2.mm.bing.net/th/id/OIP.JWL8e7Vpb-GL6JdednCTOgHaE8', 'https://tse2.mm.bing.net/th/id/OIP.rCKHLFDv8rfpI-CydW4XogHaLG', 'https://tse3.mm.bing.net/th/id/OIP.jNtwkL4RIwGGQeU1yjpaTgHaE9', 'https://tse4.mm.bing.net/th/id/OIP.8MnUeZC7hGoIIyhTz3Z23wHaE8', 'https://tse3.mm.bing.net/th/id/OIP.cNTnbddbQvic1pyEZUwT3AHaEK', 'https://tse4.mm.bing.net/th/id/OIP.8bJDRYSc7AxTflUms9LfZwHaFj', 'https://tse2.mm.bing.net/th/id/OIP.7Xm8wql3I7pkAD8_HTNFQAHaE5', 'https://tse2.mm.bing.net/th/id/OIP.VisRKhxRRE6x4u9xmkaECQHaEK', 'https://tse4.mm.bing.net/th/id/OIP.5uq62Uosx4TbwA3AyN5WWgAAAA', 'https://tse1.mm.bing.net/th/id/OIP.mDK8qhyqK5beECRdtq-7HgHaB7', 'https://tse2.mm.bing.net/th/id/OIP.r-jnR__2NaPEbzbe0pxtEAHaFj', 'https://tse2.mm.bing.net/th/id/OIP.eMjjGY6i_OTDSyzV_56kKQHaFj', 'https://tse3.mm.bing.net/th/id/OIP.gASVRCjNTQd9aUfZ0rW_yQHaHa', 'https://tse3.mm.bing.net/th/id/OIP.J2EyAdJhYrFHNNS4q64R1gAAAA', 'https://tse4.mm.bing.net/th/id/OIP.IMj4HpHTE90XCk-TraJ5qAHaE8']"
Denali State Park,denali_state_park_in_alaska.html,State Parks,Alaska,"['https://tse4.mm.bing.net/th/id/OIP.hQOukvjWuKUBHpwjOrDIxAHaDz', 'https://tse1.mm.bing.net/th/id/OIP.Ycm8IR-lQwzVf5p11lgTHwHaCv', 'https://tse2.mm.bing.net/th/id/OIP.hVpcq3qks9E77beFE1tYqAHaEK', 'https://tse4.mm.bing.net/th/id/OIP.orSSs3cf58tEtU1JoWVNKQHaJ4', 'https://tse4.mm.bing.net/th/id/OIP.RRfPD5Xh4m5DV3KoC4ey0wHaEE', 'https://tse1.mm.bing.net/th/id/OIP.HLBv09lJT7309bv0nczCEgHaE8', 'https://tse3.mm.bing.net/th/id/OIP.wZWBLJIV_q01jtp_sJ6TvQHaJ4', 'https://tse3.mm.bing.net/th/id/OIP.3xN4-eW7CnMus4bnRFwUPwHaE8', 'https://tse1.mm.bing.net/th/id/OIP.3IomtngtuadQBKkuoKDF8gHaE8', 'https://tse1.mm.bing.net/th/id/OIP.0eDKmyLnaLb7M9auMB9AxAHaE8', 'https://tse2.mm.bing.net/th/id/OIP.sczGX11dUjhSqtj5OAsr0gHaEn', 'https://tse1.mm.bing.net/th/id/OIP.aM8D9KpWCS8p8b6qmofCqgHaCO', 'https://tse4.mm.bing.net/th/id/OIP.mtrw4i3pN_Wgc517Pb6RiwHaDo', 'https://tse1.mm.bing.net/th/id/OIP.Ry12hLl1sYymW4hhOUmdhQHaE8', 'https://tse3.mm.bing.net/th/id/OIP.aR2B28x-ZVBbFOvWwFXBwQHaFj', 'https://tse1.mm.bing.net/th/id/OIP.frbYrjaMhNsMx-uJ4k9HLAHaE8', 'https://tse1.mm.bing.net/th/id/OIP.miZd0j2A_w285GbiE9aknAHaCK', 'https://tse4.mm.bing.net/th/id/OIP.iHmvmlW7x9xD_Ec-8tpuugHaFM', 'https://tse2.mm.bing.net/th/id/OIP.ZYDgoEmk1oZNpU9USjE3zAHaFQ', 'https://tse3.mm.bing.net/th/id/OIP.vhDeG-pU14Kj4vVoHYLnRAHaEm']"
Kachemak Bay State Park,kachemak_bay_state_park_in_alaska.html,State Parks,Alaska,"['https://tse4.mm.bing.net/th/id/OIP.-G3lOMhCxrGk3p9sJwK26QHaFj', 'https://tse1.mm.bing.net/th/id/OIP.zbHG7P5xbvT_2S1gBdQoYwHaEs', 'https://tse2.mm.bing.net/th/id/OIP.uJzuUfgv1r8rSRlHQWzkmAHaHa', 'https://tse1.mm.bing.net/th/id/OIP.j7cM9Ujmh0K8bzhmkbHENAHaFj', 'https://tse3.mm.bing.net/th/id/OIP.PGKMwrr8Gixw1xa517_x-wHaJ4', 'https://tse4.mm.bing.net/th/id/OIP.kD-iAv-XmpJorK6ZLWhk_QHaFZ', 'https://tse3.mm.bing.net/th/id/OIP.6MU22voMD5ENrfYVxRnXMQHaEy', 'https://tse1.mm.bing.net/th/id/OIP.Q6RrNAgN1k9-hjl9GZDeHQHaE9', 'https://tse4.mm.bing.net/th/id/OIP.wfASXGfCL1BqGcryY92TJwHaE8', 'https://tse3.mm.bing.net/th/id/OIP.o6bG7GpeIOk1AupWg9_tMgHaEu', 'https://tse2.mm.bing.net/th/id/OIP.zta9P7tMkq9ZAUJTe6yLowHaFm', 'https://tse3.mm.bing.net/th/id/OIP.MTNUtdS-bQADBW9fMqmqLwHaEK', 'https://tse1.mm.bing.net/th/id/OIP.MRcQ30LDsaJ6kid4rLBhgAHaHa', 'https://tse1.mm.bing.net/th/id/OIP.KQJi0l_etzuKkW1WDrVxggHaFj', 'https://tse2.mm.bing.net/th/id/OIP.SakFB-yIHdHunZFw16VPTgHaFj', 'https://tse2.mm.bing.net/th/id/OIP.tkis3lmcREvDCPLd1jaUtQHaFj', 'https://tse1.mm.bing.net/th/id/OIP.TUKVG5Kdfa3mWcrMka1BMAHaE8', 'https://tse3.mm.bing.net/th/id/OIP.I1rlM-X--CqyRffCKrA-0wHaE6', 'https://tse1.mm.bing.net/th/id/OIP.UJXoShAoAlUxicj77t2E7AAAAA', 'https://tse2.mm.bing.net/th/id/OIP.KhEst8YPZXgN_Ocs4rNzPwHaEK']"
Wood-Tikchik State Park,wood-tikchik_state_park_in_alaska.html,State Parks,Alaska,"['https://tse4.mm.bing.net/th/id/OIP.wjrkrbQFR_K_pS3nPqvo3QHaFj', 'https://tse4.mm.bing.net/th/id/OIP.Q7gcciydUVudWVramxTdZgHaFS', 'https://tse2.mm.bing.net/th/id/OIP.ETeH73bTXjAs8PfoV-H3OwHaFS', 'https://tse3.mm.bing.net/th/id/OIP.qeaBS9RffXgQwykDN1N5vgHaG3', 'https://tse1.mm.bing.net/th/id/OIP.LNCM9IS0Jn7byILbGqfuLAHaFc', 'https://tse3.mm.bing.net/th/id/OIP.iyPcdocrwu6n_bp2jpj81AHaD9', 'https://tse3.mm.bing.net/th/id/OIP.1fm4R20qjArfrpgYHxmFBQHaFa', 'https://tse4.mm.bing.net/th/id/OIP.-bq0Nwu0mthXaZHaOBpIvAHaE7', 'https://tse1.mm.bing.net/th/id/OIP.KlN1YNJQpHiIA0S581xQgAHaCq', 'https://tse2.mm.bing.net/th/id/OIP.O2370ASxtPzBdaWvLpLo1QHaE1', 'https://tse2.mm.bing.net/th/id/OIP.kktJ3KVujB_fwrhPp-p-NQHaD8', 'https://tse1.mm.bing.net/th/id/OIP.Q0U0dO43MSYkR9xhbd2iOwHaFS', 'https://tse2.mm.bing.net/th/id/OIP.U6vf4o6L_cAfA-jlOxI-wwHaFj', 'https://tse1.mm.bing.net/th/id/OIP.IHdDuCLrfV9nRFGdRtGLcgHaJ3', 'https://tse3.mm.bing.net/th/id/OIP.kFR3CbAuksVBBdqRfnOldQAAAA', 'https://tse4.mm.bing.net/th/id/OIP.UTachHgSBnfaKT5_vqNGIgAAAA', 'https://tse2.mm.bing.net/th/id/OIP.9AtVhI8uD9GJVoD3eec1bAAAAA', 'https://tse1.mm.bing.net/th/id/OIP.EvQPj4yG9aYHO7hVOkgcwQHaFj', 'https://tse2.mm.bing.net/th/id/OIP.gablNRWxjJlZ8JXAYe5HFQHaFj', 'https://tse3.mm.bing.net/th/id/OIP.jdS0WiituQl7kFSpIckqYQHaFd']"
Kenai Fjords National Park,kenai_fjords_national_park_in_alaska.html,State Parks,Alaska,"['https://tse4.mm.bing.net/th/id/OIP.T3K_8mjg6wMLPQYhznIkigHaHa', 'https://tse2.mm.bing.net/th/id/OIP.aEXUGkpKgopTw17ijVZL3QHaEK', 'https://tse2.mm.bing.net/th/id/OIP.cJ2IryAcXdXVoAZcAevHOwHaEK', 'https://tse4.mm.bing.net/th/id/OIP.vnkrNTbTzt6nNkgqmeY_NgHaE8', 'https://tse2.mm.bing.net/th/id/OIP.Qa_t-6ytA5XhGvhESv2CNQHaEK', 'https://tse2.mm.bing.net/th/id/OIP.tuiOxtN048323yBSeXatZwHaE7', 'https://tse2.mm.bing.net/th/id/OIP.fyiL32vAgzBda1_vS9jGjQHaFj', 'https://tse4.mm.bing.net/th/id/OIP.gWEY4gjxGFzYNWimhW8O2QHaE8', 'https://tse2.mm.bing.net/th/id/OIP.gf39QmcfzHC-YD4McHhjTQHaEK', 'https://tse2.mm.bing.net/th/id/OIP.4jlfE9Lxa2ZGIMtuYJ_EOgHaFj', 'https://tse1.mm.bing.net/th/id/OIP.MFZroBQ24EaLBozaFCTaNwHaDg', 'https://tse2.mm.bing.net/th/id/OIP.VVUv2ZPNtdFRK305sNza3QHaEo', 'https://tse1.mm.bing.net/th/id/OIP.ZUTJTox-UywbLZtPesL-BAHaE8', 'https://tse2.mm.bing.net/th/id/OIP.jk_tDZrVv8ag7ZqpOQMbNgHaLH', 'https://tse2.mm.bing.net/th/id/OIP.cuKaNQyvCrLFIiNwnqbsEAHaLH', 'https://tse4.mm.bing.net/th/id/OIP.Nuy4LM3IduN9lgf96_wZpQHaE9', 'https://tse4.mm.bing.net/th/id/OIP.YzXRY3GufyIJ7jrknsVfPAHaE8', 'https://tse3.mm.bing.net/th/id/OIP.lj8MEpDPqzaDP-p8ccMMfQHaE8', 'https://tse3.mm.bing.net/th/id/OIP.7IJBc30f9qReB23icji4JQHaE6', 'https://tse3.mm.bing.net/th/id/OIP.Yf_uQOp5zoMcfmoHtnZEPgHaEM']"
Kobuk Valley National Park,kobuk_valley_national_park_in_alaska.html,State Parks,Alaska,"['https://tse4.mm.bing.net/th/id/OIP.17gaxPap9Kdg0f-YhF0dLAHaE8', 'https://tse3.mm.bing.net/th/id/OIP.loDw3ZpLaUjeRGB4Hnn1kAHaE8', 'https://tse3.mm.bing.net/th/id/OIP.F_GSlm73HPFjtbHMEHINUAHaEo', 'https://tse4.mm.bing.net/th/id/OIP.NPtyap6QumU0_B1Fo_NQvAHaE7', 'https://tse2.mm.bing.net/th/id/OIP.pqO6tyL8yznkodiSVcdoagHaE7', 'https://tse4.mm.bing.net/th/id/OIP.1mqHtCYqTb5hYeT_Z6Ok4QHaE8', 'https://tse4.mm.bing.net/th/id/OIP.fQ8pTNIQwRZODqF_ZM2JkAHaFj', 'https://tse4.mm.bing.net/th/id/OIP.v-lDfK3fwN8T0LFA1FqVqAHaEb', 'https://tse2.mm.bing.net/th/id/OIP.m4p3RLRUzyP0TDLgxwwniwHaC0', 'https://tse4.mm.bing.net/th/id/OIP.LEfA198SnOv3QebOlHG8DwHaFj', 'https://tse4.mm.bing.net/th/id/OIP.UxnJS-sqXoXrbncVyQw3pgHaFj', 'https://tse3.mm.bing.net/th/id/OIP.drWKaYYpTir6YHRNgDNBtAHaFj', 'https://tse4.mm.bing.net/th/id/OIP.CO5q2gtgnaIEnFUjf7WVJwHaE8', 'https://tse4.mm.bing.net/th/id/OIP.aHiPLosnVqUvb6GWkJuLQQHaEK', 'https://tse2.mm.bing.net/th/id/OIP.dbh8ZZ_OLPR7NRIos_qQzQHaE7', 'https://tse2.mm.bing.net/th/id/OIP.RHVaNqdAyvYTYgtzdXWdHgHaE8', 'https://tse2.mm.bing.net/th/id/OIP.-e_3pAWAkoNxnlJu380l1gHaE8', 'https://tse3.mm.bing.net/th/id/OIP.XKtgiQEnjxFbWY0SPE8bwwHaFF', 'https://tse2.mm.bing.net/th/id/OIP.DckY7fSdyGZxO-DPZjnBOQHaE8', 'https://tse3.mm.bing.net/th/id/OIP.LH-GlNPO5YajdyVFPxp3jgHaEy']"
Chugach National Forest,chugach_national_forest_in_alaska.html,State Parks,Alaska,"['https://tse3.mm.bing.net/th/id/OIP.3wiwkqw_wMNuBgVudzLg6gHaJ4', 'https://tse2.mm.bing.net/th/id/OIP.BIwqUJwYwiPezcdJlJTSpQHaD4', 'https://tse4.mm.bing.net/th/id/OIP.rkZprCo9sieo9BztZx-uBAHaFj', 'https://tse2.mm.bing.net/th/id/OIP.HW7IcYj40VR9hiYR2Sw8eAHaFj', 'https://tse1.mm.bing.net/th/id/OIP.GwVCBed49k5PuMPSiDGLJAHaJ4', 'https://tse1.mm.bing.net/th/id/OIP.lEGs9s5Uxz31w0Fi0AMoQQHaFi', 'https://tse3.mm.bing.net/th/id/OIP.yInw20dIHhzbOF4JREZ4fwHaJ4', 'https://tse2.mm.bing.net/th/id/OIP.rk-eWmf7TMR-9RUtdOZ6vAHaFl', 'https://tse2.mm.bing.net/th/id/OIP.vCrPckCJwFFswMlH11ypGgHaE8', 'https://tse2.mm.bing.net/th/id/OIP.RyAvLLI9YnAvkyMTs7RRjwHaFj', 'https://tse3.mm.bing.net/th/id/OIP.Jc1adlsKVSv5y3f_ijgVpgHaFj', 'https://tse2.mm.bing.net/th/id/OIP.wrOWRwu65qqv8_y8BlhNiwHaJ4', 'https://tse4.mm.bing.net/th/id/OIP.9CLBLVdHxn6KeFZMHHpVjAHaFj', 'https://tse2.mm.bing.net/th/id/OIP.HHKJvkq-krTDhytzfi94IgHaLH', 'https://tse4.mm.bing.net/th/id/OIP.s8YrSBkT2U0OynYGvs_eOQHaD4', 'https://tse3.mm.bing.net/th/id/OIP.OWmsFrQyEVZPX9cNMHesVgHaFj', 'https://tse1.mm.bing.net/th/id/OIP.nXT0Hjmnj49XGxsyEaP26wHaE6', 'https://tse2.mm.bing.net/th/id/OIP.ox0I0YFkiZ02VJac_1HWiQHaMG', 'https://tse2.mm.bing.net/th/id/OIP.1ps6dNW0orEan-4PugA6VwHaE8', 'https://tse3.mm.bing.net/th/id/OIP.K9ikYHdLA00MeNgm08ZAgQHaLH']"
